Time,"Minimum"
0.01,0.0040253
0.02,0.0039909
0.11,0.0039525
0.12,0.0039576
0.13,0.0039624
0.14,0.0039669
0.15,0.0039716
0.16,0.0039763
0.17,0.0039806
0.18,0.003985
0.19,0.0039893
0.2,0.0039934
0.03,0.0039692
0.21,0.0039974
0.22,0.0040011
0.23,0.0040043
0.24,0.0040071
0.25,0.0040062
0.26,0.0040043
0.27,0.0040031
0.28,0.0040023
0.29,0.004002
0.3,0.0040021
0.04,0.0039548
0.31,0.0040023
0.32,0.0040029
0.33,0.0040038
0.34,0.0040051
0.35,0.0040068
0.36,0.0040088
0.37,0.0040109
0.38,0.0040123
0.39,0.0040135
0.4,0.0040135
0.05,0.0039447
0.41,0.0040138
0.42,0.0040143
0.43,0.0040149
0.44,0.0040151
0.45,0.0040151
0.46,0.0040151
0.47,0.0040153
0.48,0.0040154
0.49,0.0040155
0.5,0.0040155
0.06,0.0039399
0.51,0.0040154
0.52,0.0040156
0.53,0.0040155
0.54,0.0040156
0.55,0.0040155
0.56,0.0040155
0.57,0.0040154
0.58,0.0040154
0.59,0.0040153
0.6,0.0040153
0.07,0.0039391
0.61,0.0040151
0.62,0.004015
0.63,0.0040149
0.64,0.0040147
0.65,0.0040145
0.66,0.0040143
0.67,0.004014
0.68,0.0040137
0.69,0.0040134
0.7,0.0040132
0.08,0.0039411
0.71,0.0040131
0.72,0.0040131
0.73,0.0040132
0.74,0.0040134
0.75,0.0040138
0.76,0.0040142
0.77,0.0040146
0.78,0.0040152
0.79,0.0040158
0.8,0.0040164
0.09,0.0039442
0.81,0.0040171
0.82,0.0040178
0.83,0.0040186
0.84,0.0040193
0.85,0.00402
0.86,0.0040206
0.87,0.0040211
0.88,0.0040215
0.89,0.0040217
0.9,0.004022
0.1,0.0039479
0.91,0.0040224
0.92,0.0040228
0.93,0.0040232
0.94,0.0040236
0.95,0.004024
0.96,0.0040245
0.97,0.004025
0.98,0.0040255
0.99,0.004026
1,0.0040265
